word,total_score,appeared_times,averange_score
好看,6026,1781,3.3835
没有,5120,1726,2.9664
彩蛋,5501,1582,3.4772
特效,4632,1533,3.0215
喜欢,4949,1498,3.3037
故事,3918,1279,3.0633
反派,4005,1268,3.1585
感觉,3888,1245,3.1229
觉得,3818,1230,3.1041
不错,3657,1086,3.3674
有点,3161,1000,3.161
无聊,2163,958,2.2578
队长,2862,878,3.2597
爆米花,2390,769,3.1079
角色,2303,722,3.1898
可爱,2586,695,3.7209
场面,2147,676,3.176
笑点,2111,653,3.2328
搞笑,2131,650,3.2785
时候,2113,650,3.2508
完全,1806,638,2.8307
还有,2042,637,3.2057
实在,1719,624,2.7548
知道,1830,610,3
打斗,1905,608,3.1332
情节,1744,581,3.0017
期待,2005,569,3.5237
宇宙,1889,564,3.3493
睡着,1268,560,2.2643
人物,1662,542,3.0664
套路,1553,530,2.9302
精彩,1773,512,3.4629
设定,1581,512,3.0879
一般,1440,511,2.818
主角,1568,506,3.0988
漫画,1578,490,3.2204
大片,1479,487,3.037
动作,1546,482,3.2075
世界,1531,469,3.2644
亮点,1307,459,2.8475
不能,1310,456,2.8728
看过,1319,445,2.964
效果,1424,439,3.2437
拯救,1351,427,3.1639
出来,1256,420,2.9905
节奏,1317,412,3.1966
导演,1239,409,3.0293
三星,1303,408,3.1936
观众,1149,378,3.0397
可能,1128,370,3.0486
失望,965,360,2.6806
开始,1139,358,3.1816
演员,1062,355,2.9915
应该,1116,352,3.1705
惊喜,1188,350,3.3943
毫无,872,348,2.5057
灭霸,1153,337,3.4214
没什么,931,336,2.7708
影院,1112,334,3.3293
黑人,991,325,3.0492
起来,992,317,3.1293
大战,1055,315,3.3492
看完,975,311,3.135
难看,676,310,2.1806
幽默,1042,309,3.3722
全片,973,303,3.2112
全程,932,296,3.1486
作为,958,295,3.2475
续集,916,295,3.1051
只能,824,292,2.8219
有趣,951,288,3.3021
科幻,870,285,3.0526
确实,904,279,3.2401
编剧,758,279,2.7168
老套,731,275,2.6582
画面,869,273,3.1832
时间,840,271,3.0996
视觉,874,269,3.2491
音乐,930,268,3.4701
逻辑,666,268,2.4851
可惜,836,265,3.1547
尴尬,702,265,2.6491
不会,804,264,3.0455
星爵,929,264,3.5189
不够,802,262,3.0611
台词,772,261,2.9579
变成,823,260,3.1654
剧本,743,258,2.8798
喜剧,819,257,3.1868
酱油,789,256,3.082
地球,788,255,3.0902
结果,736,255,2.8863
科技,782,254,3.0787
个人,785,254,3.0906
铺垫,771,251,3.0717
看着,784,249,3.1486
结局,782,249,3.1406
复联,850,246,3.4553
部分,745,241,3.0913
适合,727,241,3.0166
老师,783,240,3.2625
勇度,877,234,3.7479
风格,775,233,3.3262
新意,662,233,2.8412
浣熊,816,231,3.5325
镜头,707,230,3.0739
元素,740,228,3.2456
算是,743,223,3.3318
戏份,732,223,3.2825
好像,717,222,3.2297
场景,718,221,3.2489
演技,684,219,3.1233
大家,700,212,3.3019
发现,660,211,3.128
塑造,661,211,3.1327
看看,633,209,3.0287
依旧,700,209,3.3493
空间,686,206,3.3301
出场,680,204,3.3333
配乐,713,203,3.5123
地方,617,201,3.0697
穿越,629,198,3.1768
烂片,381,197,1.934
本片,642,196,3.2755
好笑,690,196,3.5204
爸爸,703,196,3.5867
开头,587,195,3.0103
整体,655,195,3.359
魅力,643,193,3.3316
五星,819,193,4.2435
观影,615,193,3.1865
简单,578,192,3.0104
过瘾,692,191,3.623
莫名其妙,482,191,2.5236
视觉效果,614,189,3.2487
感情,605,189,3.2011
问题,558,187,2.984
锤子,629,187,3.3636
整部,552,186,2.9677
流水线,529,186,2.8441
出彩,626,184,3.4022
是不是,581,184,3.1576
视效,598,184,3.25
垃圾,342,183,1.8689
存在,583,183,3.1858
有意思,618,182,3.3956
开心,674,182,3.7033
超人,581,181,3.2099
直接,515,181,2.8453
四星,688,179,3.8436
金曲,626,179,3.4972
身材,589,178,3.309
智商,461,177,2.6045
护卫队,609,177,3.4407
惊艳,568,175,3.2457
平庸,467,172,2.7151
豆瓣,445,172,2.5872
英雄主义,514,171,3.0058
想象,563,170,3.3118
还好,514,170,3.0235
意思,458,170,2.6941
评分,421,170,2.4765
预告片,485,169,2.8698
无趣,403,169,2.3846
作品,509,168,3.0298
厉害,534,168,3.1786
蝙蝠侠,526,167,3.1497
奇异,557,167,3.3353
兄弟,519,166,3.1265
印象,492,165,2.9818
锤哥,566,164,3.4512
超英,545,163,3.3436
不了,442,162,2.7284
没想到,545,161,3.3851
理解,496,161,3.0807
生硬,455,161,2.8261
娱乐,532,160,3.325
类型,474,160,2.9625
强行,420,160,2.625
需要,518,159,3.2579
弱智,357,159,2.2453
高科技,494,157,3.1465
希望,515,157,3.2803
政治,477,157,3.0382
商业片,487,156,3.1218
中规中矩,506,156,3.2436
欢乐,577,156,3.6987
肌肉,502,156,3.2179
差点,460,155,2.9677
人类,481,154,3.1234
审美疲劳,438,154,2.8442
完美,580,153,3.7908
正确,472,153,3.085
值得,501,153,3.2745
基友,531,153,3.4706
恶心,380,152,2.5
烟花,515,152,3.3882
看点,408,151,2.702
不想,394,151,2.6093
逗比,532,151,3.5232
结束,465,150,3.1
想象力,487,149,3.2685
屌丝,488,149,3.2752
讨厌,395,148,2.6689
树人,512,148,3.4595
设计,447,147,3.0408
俗套,435,147,2.9592
配角,500,147,3.4014
文戏,455,147,3.0952
无法,429,146,2.9384
打架,438,146,3
典型,437,145,3.0138
桥段,457,144,3.1736
太弱,429,144,2.9792
最佳,511,144,3.5486
最大,458,143,3.2028
很棒,536,143,3.7483
鹰眼,509,143,3.5594
基本,423,143,2.958
突然,437,142,3.0775
能力,449,141,3.1844
水准,461,141,3.2695
最好,497,140,3.55
无感,354,140,2.5286
粉丝,406,140,2.9
拖沓,393,139,2.8273
版本,469,139,3.3741
浪费,308,138,2.2319
女神,474,138,3.4348
广告,411,137,3
量子,474,137,3.4599
娱乐性,478,136,3.5147
笑料,434,136,3.1912
成功,453,135,3.3556
奥创,424,135,3.1407
比起,450,134,3.3582
记得,408,134,3.0448
像是,403,134,3.0075
男主角,412,133,3.0977
变形金刚,421,133,3.1654
估计,412,133,3.0977
心疼,434,133,3.2632
轻松,470,133,3.5338
女巫,453,133,3.406
想起,435,131,3.3206
女主角,393,131,3
翻译,431,131,3.2901
根本,342,131,2.6107
世界观,414,131,3.1603
吸引,393,130,3.0231
不到,341,130,2.6231
不行,399,130,3.0692
客串,450,130,3.4615
铁人,445,129,3.4496
造型,381,129,2.9535
票房,364,129,2.8217
美式,381,128,2.9766
样子,417,128,3.2578
情感,435,128,3.3984
上映,441,127,3.4724
明显,399,126,3.1667
基情,420,126,3.3333
科幻片,388,125,3.104
成长,429,125,3.432
无脑,345,125,2.76
还行,382,124,3.0806
差不多,365,124,2.9435
震撼,434,123,3.5285
幼稚,302,123,2.4553
插科打诨,350,123,2.8455
开场,425,123,3.4553
成为,406,122,3.3279
接受,339,122,2.7787
好评,442,122,3.623
蚂蚁,403,122,3.3033
好玩,411,121,3.3967
细节,417,121,3.4463
感动,442,120,3.6833
性格,386,119,3.2437
特技,344,119,2.8908
煽情,353,119,2.9664
叙事,358,119,3.0084
制作,358,118,3.0339
改编,376,118,3.1864
肯定,362,118,3.0678
主线,366,118,3.1017
全场,427,118,3.6186
嘴炮,385,118,3.2627
呵呵,316,117,2.7009
形象,377,117,3.2222
评价,342,117,2.9231
一如既往,380,117,3.2479
商业,358,116,3.0862
合格,372,116,3.2069
大叔,391,115,3.4
混乱,301,115,2.6174
重要,397,114,3.4825
性感,406,114,3.5614
主题,362,114,3.1754
看起来,373,113,3.3009
正义,355,113,3.1416
无限,379,113,3.354
魔法,348,113,3.0796
容易,343,112,3.0625
无敌,365,111,3.2883
眼睛,370,111,3.3333
狗血,327,111,2.9459
坏人,352,111,3.1712
显得,340,111,3.0631
星际,374,111,3.3694
小树,400,111,3.6036
想要,366,110,3.3273
继续,351,110,3.1909
气质,356,109,3.2661
主旋律,334,109,3.0642
告诉,355,108,3.287
加入,365,108,3.3796
变小,339,108,3.1389
热闹,329,108,3.0463
战斗,339,108,3.1389
精神,342,107,3.1963
寄生兽,312,107,2.9159
紧凑,405,106,3.8208
